Part,Item,Estereotipia,Morfologia,RToracion,RTrta,RTA,Lista,Oracion,Edad,Genero,Pais,Residencia,Educacion,NoBinario
3,1,1,o,3250,7558,mixto,A,Los maestros usan recursos variados durante la alfabetizaci&oacute;n inicial.,28,mujer,Argentina,AMBA,universitario/posgrado,mucho
3,4,2,o,3780,4184,mixto,A,Los cirujanos cumplen con estrictas normas de higiene para ingresar al quir&oacute;fano.,28,mujer,Argentina,AMBA,universitario/posgrado,mucho
3,18,3,e,4717,7775,mixto,A,Les caminioneres con experiencia manejan por la ruta durante toda la noche.,28,mujer,Argentina,AMBA,universitario/posgrado,mucho
3,17,3,e,3636,4742,mixto,A,Les porteres de las escuelas conocen a todos los estudiantes y sus padres.,28,mujer,Argentina,AMBA,universitario/posgrado,mucho
4,51,2,x,7132,3655,mixto,B,Lxs enfermerxs tienen obligaci&oacute;n de actuar si hay un accidente en la v&iacute;a p&uacute;blica.,25,mujer,Argentina,AMBA,universitario/posgrado,nada
4,62,1,o,5417,4041,mixto,B,Los hermanos de familias numerosas adquieren autonom&iacute;a r&aacute;pido.,25,mujer,Argentina,AMBA,universitario/posgrado,nada
4,64,2,o,13081,9354,mixto,B,Los funcionarios organizan su tiempo en funci&oacute;n de las demandas presidenciales.,25,mujer,Argentina,AMBA,universitario/posgrado,nada
4,61,1,o,18653,4750,mixto,B,Los ni&ntilde;os siempre empiezan el jard&iacute;n con un per&iacute;odo de adaptaci&oacute;n inicial.,25,mujer,Argentina,AMBA,universitario/posgrado,nada
4,60,3,e,6461,5519,mixto,B,Les herreres con trayectoria fabrican las herramientas que usan para su oficio.,25,mujer,Argentina,AMBA,universitario/posgrado,nada
4,54,3,x,7567,5416,mixto,B,Lxs bomberxs a cargo de la estaci&oacute;n controlan el funcionamiento de las autobombas.,25,mujer,Argentina,AMBA,universitario/posgrado,nada
4,50,1,x,7875,5771,mixto,B,Lxs alumnxs de secundaria suelen manejar g&eacute;neros textuales b&aacute;sicos.,25,mujer,Argentina,AMBA,universitario/posgrado,nada
4,63,2,o,5873,7090,mixto,B,Los cocineros siempre organizan los ingredientes sobre la mesada para cocinar.,25,mujer,Argentina,AMBA,universitario/posgrado,nada
4,52,2,x,7373,7436,mixto,B,Lxs cirujanxs cumplen con estrictas normas de higiene para ingresar al quir&oacute;fano.,25,mujer,Argentina,AMBA,universitario/posgrado,nada
4,56,1,e,6454,8570,mixto,B,Les hijes de padres separados tienen reacciones muy variadas ante la situaci&oacute;n.,25,mujer,Argentina,AMBA,universitario/posgrado,nada
4,66,3,o,3211,3787,masc.p,B,Los camioneros con experiencia manejan por la ruta durante toda la noche.,25,mujer,Argentina,AMBA,universitario/posgrado,nada
4,59,3,e,8718,4735,mixto,B,Les carpinteres de oficio hacen el lijado de los muebles con mucha precisi&oacute;n.,25,mujer,Argentina,AMBA,universitario/posgrado,nada
4,49,1,x,8169,4692,mixto,B,Lxs maestrxs usan recursos variados durante la alfabetizaci&oacute;n inicial.,25,mujer,Argentina,AMBA,universitario/posgrado,nada
4,65,3,o,3134,3666,masc.p,B,Los porteros de las escuelas conocen a todos los estudiantes y sus padres.,25,mujer,Argentina,AMBA,universitario/posgrado,nada
4,57,2,e,8999,11534,mixto,B,Les ingenieres revisan la porosidad de los materiales utilizados en la construcci&oacute;n.,25,mujer,Argentina,AMBA,universitario/posgrado,nada
4,53,3,x,10886,6142,mixto,B,Lxs plomerxs con matr&iacute;cula pueden hacer trabajos en edificios y consorcios.,25,mujer,Argentina,AMBA,universitario/posgrado,nada
4,55,1,e,7618,6186,mixto,B,Les abueles cumplen un rol central durante la crianza en sociedades modernas.,25,mujer,Argentina,AMBA,universitario/posgrado,nada
4,58,2,e,11932,7117,mixto,B,Les arquitectes realizan los planos para edificios en modernos programas inform&aacute;ticos.,25,mujer,Argentina,AMBA,universitario/posgrado,nada
5,114,3,x,3934,6318,mixto,C,Lxs caminionerxs con experiencia manejan por la ruta durante toda la noche.,49,mujer,Argentina,AMBA,universitario/posgrado,mucho
5,105,2,o,3439,7149,masc.p,C,Los ingenieros revisan la porosidad de los materiales utilizados en la construcci&oacute;n.,49,mujer,Argentina,AMBA,universitario/posgrado,mucho
5,102,3,e,3784,7172,mixto,C,Les bomberes a cargo de la estaci&oacute;n controlan el funcionamiento de las autobombas.,49,mujer,Argentina,AMBA,universitario/posgrado,mucho
5,103,1,o,5081,5447,mixto,C,Los abuelos cumplen un rol central durante la crianza en sociedades modernas.,49,mujer,Argentina,AMBA,universitario/posgrado,mucho
5,99,2,e,3268,4894,mixto,C,Les enfermeres tienen obligaci&oacute;n de actuar si hay un accidente en la v&iacute;a p&uacute;blica.,49,mujer,Argentina,AMBA,universitario/posgrado,mucho
5,113,3,x,3006,6438,mixto,C,Lxs porterxs de las escuelas conocen a todos los estudiantes y sus padres.,49,mujer,Argentina,AMBA,universitario/posgrado,mucho
5,98,1,e,5213,5146,mixto,C,Les alumnes de secundaria suelen manejar g&eacute;neros textuales b&aacute;sicos.,49,mujer,Argentina,AMBA,universitario/posgrado,mucho
5,101,3,e,2742,5675,mixto,C,Les plomeres con matr&iacute;cula pueden hacer trabajos en edificios y consorcios.,49,mujer,Argentina,AMBA,universitario/posgrado,mucho
5,107,3,o,3327,3309,masc.p,C,Los carpinteros de oficio hacen el lijado de los muebles con mucha precisi&oacute;n.,49,mujer,Argentina,AMBA,universitario/posgrado,mucho
5,104,1,o,9778,6332,mixto,C,Los hijos de padres separados tienen reacciones muy variadas ante la situaci&oacute;n.,49,mujer,Argentina,AMBA,universitario/posgrado,mucho
5,106,2,o,5767,2726,masc.p,C,Los arquitectos realizan los planos para edificios en modernos programas inform&aacute;ticos.,49,mujer,Argentina,AMBA,universitario/posgrado,mucho
5,110,1,x,3632,5100,mixto,C,Lxs hermanxs de familias numerosas adquieren autonom&iacute;a r&aacute;pido.,49,mujer,Argentina,AMBA,universitario/posgrado,mucho
5,111,2,x,2878,2970,mixto,C,Lxs cocinerxs siempre organizan los ingredientes sobre la mesada para cocinar.,49,mujer,Argentina,AMBA,universitario/posgrado,mucho
5,109,1,x,2756,8056,mixto,C,Lxs ni&ntilde;xs siempre empiezan el jard&iacute;n con un per&iacute;odo de adaptaci&oacute;n inicial.,49,mujer,Argentina,AMBA,universitario/posgrado,mucho
5,97,1,e,3020,3562,mixto,C,Les maestres usan recursos variados durante la alfabetizaci&oacute;n inicial.,49,mujer,Argentina,AMBA,universitario/posgrado,mucho
5,108,3,o,8448,3438,masc.p,C,Los herreros con trayectoria fabrican las herramientas que usan para su oficio.,49,mujer,Argentina,AMBA,universitario/posgrado,mucho
5,100,2,e,2288,2534,mixto,C,Les cirujanes cumplen con estrictas normas de higiene para ingresar al quir&oacute;fano.,49,mujer,Argentina,AMBA,universitario/posgrado,mucho
5,112,2,x,5868,5762,mixto,C,Lxs funcionarixs organizan su tiempo en funci&oacute;n de las demandas presidenciales.,49,mujer,Argentina,AMBA,universitario/posgrado,mucho
6,100,2,e,6556,7981,mixto,C,Les cirujanes cumplen con estrictas normas de higiene para ingresar al quir&oacute;fano.,33,varon,Argentina,AMBA,universitario/posgrado,mucho
6,106,2,o,28281,4608,mixto,C,Los arquitectos realizan los planos para edificios en modernos programas inform&aacute;ticos.,33,varon,Argentina,AMBA,universitario/posgrado,mucho
6,109,1,x,85656,3369,mixto,C,Lxs ni&ntilde;xs siempre empiezan el jard&iacute;n con un per&iacute;odo de adaptaci&oacute;n inicial.,33,varon,Argentina,AMBA,universitario/posgrado,mucho
6,104,1,o,4914,4742,mixto,C,Los hijos de padres separados tienen reacciones muy variadas ante la situaci&oacute;n.,33,varon,Argentina,AMBA,universitario/posgrado,mucho
6,101,3,e,11725,5422,mixto,C,Les plomeres con matr&iacute;cula pueden hacer trabajos en edificios y consorcios.,33,varon,Argentina,AMBA,universitario/posgrado,mucho
6,98,1,e,7864,2740,masc.p,C,Les alumnes de secundaria suelen manejar g&eacute;neros textuales b&aacute;sicos.,33,varon,Argentina,AMBA,universitario/posgrado,mucho
6,110,1,x,52029,5734,mixto,C,Lxs hermanxs de familias numerosas adquieren autonom&iacute;a r&aacute;pido.,33,varon,Argentina,AMBA,universitario/posgrado,mucho
6,103,1,o,6930,3299,mixto,C,Los abuelos cumplen un rol central durante la crianza en sociedades modernas.,33,varon,Argentina,AMBA,universitario/posgrado,mucho
6,99,2,e,3688,6319,mixto,C,Les enfermeres tienen obligaci&oacute;n de actuar si hay un accidente en la v&iacute;a p&uacute;blica.,33,varon,Argentina,AMBA,universitario/posgrado,mucho
6,113,3,x,5792,2793,mixto,C,Lxs porterxs de las escuelas conocen a todos los estudiantes y sus padres.,33,varon,Argentina,AMBA,universitario/posgrado,mucho
6,97,1,e,4976,2963,mixto,C,Les maestres usan recursos variados durante la alfabetizaci&oacute;n inicial.,33,varon,Argentina,AMBA,universitario/posgrado,mucho
6,102,3,e,72236,2824,masc.p,C,Les bomberes a cargo de la estaci&oacute;n controlan el funcionamiento de las autobombas.,33,varon,Argentina,AMBA,universitario/posgrado,mucho
6,111,2,x,33804,3587,mixto,C,Lxs cocinerxs siempre organizan los ingredientes sobre la mesada para cocinar.,33,varon,Argentina,AMBA,universitario/posgrado,mucho
6,107,3,o,23499,5112,masc.p,C,Los carpinteros de oficio hacen el lijado de los muebles con mucha precisi&oacute;n.,33,varon,Argentina,AMBA,universitario/posgrado,mucho
6,112,2,x,8105,4471,mixto,C,Lxs funcionarixs organizan su tiempo en funci&oacute;n de las demandas presidenciales.,33,varon,Argentina,AMBA,universitario/posgrado,mucho
6,105,2,o,1965,11298,masc.p,C,Los ingenieros revisan la porosidad de los materiales utilizados en la construcci&oacute;n.,33,varon,Argentina,AMBA,universitario/posgrado,mucho
6,108,3,o,3784,4765,masc.p,C,Los herreros con trayectoria fabrican las herramientas que usan para su oficio.,33,varon,Argentina,AMBA,universitario/posgrado,mucho
6,114,3,x,4533,2268,masc.p,C,Lxs caminionerxs con experiencia manejan por la ruta durante toda la noche.,33,varon,Argentina,AMBA,universitario/posgrado,mucho
7,5,3,o,4541,4167,masc.p,A,Los plomeros con matr&iacute;cula pueden hacer trabajos en edificios y consorcios.,44,mujer,Argentina,AMBA,universitario en curso,poco
7,10,2,x,10837,7407,mixto,A,Lxs arquitectxs realizan los planos para edificios en modernos programas inform&aacute;ticos.,44,mujer,Argentina,AMBA,universitario en curso,poco
7,4,2,o,5085,17110,masc.p,A,Los cirujanos cumplen con estrictas normas de higiene para ingresar al quir&oacute;fano.,44,mujer,Argentina,AMBA,universitario en curso,poco
7,12,3,x,7670,9735,mixto,A,Lxs herrerxs con trayectoria fabrican las herramientas que usan para su oficio.,44,mujer,Argentina,AMBA,universitario en curso,poco
7,1,1,o,7005,5175,mixto,A,Los maestros usan recursos variados durante la alfabetizaci&oacute;n inicial.,44,mujer,Argentina,AMBA,universitario en curso,poco
7,16,2,e,6325,3543,mixto,A,Les funcionaries organizan su tiempo en funci&oacute;n de las demandas presidenciales.,44,mujer,Argentina,AMBA,universitario en curso,poco
7,15,2,e,4646,4647,mixto,A,Les cocineres siempre organizan los ingredientes sobre la mesada para cocinar.,44,mujer,Argentina,AMBA,universitario en curso,poco
7,3,2,o,4359,9863,mixto,A,Los enfermeros tienen obligaci&oacute;n de actuar si hay un accidente en la v&iacute;a p&uacute;blica.,44,mujer,Argentina,AMBA,universitario en curso,poco
7,2,1,o,4796,6504,mixto,A,Los alumnos de secundaria suelen manejar g&eacute;neros textuales b&aacute;sicos.,44,mujer,Argentina,AMBA,universitario en curso,poco
7,9,2,x,5437,6141,mixto,A,Lxs ingenierxs revisan la porosidad de los materiales utilizados en la construcci&oacute;n.,44,mujer,Argentina,AMBA,universitario en curso,poco
7,8,1,x,4677,5446,mixto,A,Lxs hijxs de padres separados tienen reacciones muy variadas ante la situaci&oacute;n.,44,mujer,Argentina,AMBA,universitario en curso,poco
7,13,1,e,4981,6255,mixto,A,Les ni&ntilde;es siempre empiezan el jard&iacute;n con un per&iacute;odo de adaptaci&oacute;n inicial.,44,mujer,Argentina,AMBA,universitario en curso,poco
7,6,3,o,6853,17147.5,masc.p,A,Los bomberos a cargo de la estaci&oacute;n controlan el funcionamiento de las autobombas.,44,mujer,Argentina,AMBA,universitario en curso,poco
7,14,1,e,9972,3952,mixto,A,Les hermanes de familias numerosas adquieren autonom&iacute;a r&aacute;pido.,44,mujer,Argentina,AMBA,universitario en curso,poco
7,7,1,x,3190,6105,mixto,A,Lxs abuelxs cumplen un rol central durante la crianza en sociedades modernas.,44,mujer,Argentina,AMBA,universitario en curso,poco
7,11,3,x,3998,7055,mixto,A,Lxs carpinterxs de oficio hacen el lijado de los muebles con mucha precisi&oacute;n.,44,mujer,Argentina,AMBA,universitario en curso,poco
7,18,3,e,5270,4542,mixto,A,Les caminioneres con experiencia manejan por la ruta durante toda la noche.,44,mujer,Argentina,AMBA,universitario en curso,poco
7,17,3,e,4089,8168,mixto,A,Les porteres de las escuelas conocen a todos los estudiantes y sus padres.,44,mujer,Argentina,AMBA,universitario en curso,poco
8,98,1,e,2497,3590,mixto,C,Les alumnes de secundaria suelen manejar g&eacute;neros textuales b&aacute;sicos.,40,varon,Argentina,AMBA,universitario/posgrado,poco
8,102,3,e,2543,5283,mixto,C,Les bomberes a cargo de la estaci&oacute;n controlan el funcionamiento de las autobombas.,40,varon,Argentina,AMBA,universitario/posgrado,poco
8,100,2,e,1858,2734,mixto,C,Les cirujanes cumplen con estrictas normas de higiene para ingresar al quir&oacute;fano.,40,varon,Argentina,AMBA,universitario/posgrado,poco
8,104,1,o,2096,4469,mixto,C,Los hijos de padres separados tienen reacciones muy variadas ante la situaci&oacute;n.,40,varon,Argentina,AMBA,universitario/posgrado,poco
8,103,1,o,4191,5057,mixto,C,Los abuelos cumplen un rol central durante la crianza en sociedades modernas.,40,varon,Argentina,AMBA,universitario/posgrado,poco
8,111,2,x,3186,3859,mixto,C,Lxs cocinerxs siempre organizan los ingredientes sobre la mesada para cocinar.,40,varon,Argentina,AMBA,universitario/posgrado,poco
8,97,1,e,3087,4030,mixto,C,Les maestres usan recursos variados durante la alfabetizaci&oacute;n inicial.,40,varon,Argentina,AMBA,universitario/posgrado,poco
8,99,2,e,2463,2704,mixto,C,Les enfermeres tienen obligaci&oacute;n de actuar si hay un accidente en la v&iacute;a p&uacute;blica.,40,varon,Argentina,AMBA,universitario/posgrado,poco
8,109,1,x,1940,3082,mixto,C,Lxs ni&ntilde;xs siempre empiezan el jard&iacute;n con un per&iacute;odo de adaptaci&oacute;n inicial.,40,varon,Argentina,AMBA,universitario/posgrado,poco
8,114,3,x,2393,3885,mixto,C,Lxs caminionerxs con experiencia manejan por la ruta durante toda la noche.,40,varon,Argentina,AMBA,universitario/posgrado,poco
8,108,3,o,2117,3730,masc.p,C,Los herreros con trayectoria fabrican las herramientas que usan para su oficio.,40,varon,Argentina,AMBA,universitario/posgrado,poco
8,110,1,x,2842,4262,mixto,C,Lxs hermanxs de familias numerosas adquieren autonom&iacute;a r&aacute;pido.,40,varon,Argentina,AMBA,universitario/posgrado,poco
8,106,2,o,4915,4382,mixto,C,Los arquitectos realizan los planos para edificios en modernos programas inform&aacute;ticos.,40,varon,Argentina,AMBA,universitario/posgrado,poco
8,113,3,x,2502,3453,mixto,C,Lxs porterxs de las escuelas conocen a todos los estudiantes y sus padres.,40,varon,Argentina,AMBA,universitario/posgrado,poco
8,107,3,o,3460,4133,masc.p,C,Los carpinteros de oficio hacen el lijado de los muebles con mucha precisi&oacute;n.,40,varon,Argentina,AMBA,universitario/posgrado,poco
8,105,2,o,1653,3736,mixto,C,Los ingenieros revisan la porosidad de los materiales utilizados en la construcci&oacute;n.,40,varon,Argentina,AMBA,universitario/posgrado,poco
8,101,3,e,2818,6308,mixto,C,Les plomeres con matr&iacute;cula pueden hacer trabajos en edificios y consorcios.,40,varon,Argentina,AMBA,universitario/posgrado,poco
8,112,2,x,2308,5697,mixto,C,Lxs funcionarixs organizan su tiempo en funci&oacute;n de las demandas presidenciales.,40,varon,Argentina,AMBA,universitario/posgrado,poco
9,112,2,x,2331,4727,mixto,C,Lxs funcionarixs organizan su tiempo en funci&oacute;n de las demandas presidenciales.,26,mujer,Argentina,AMBA,universitario/posgrado,mucho
9,101,3,e,4386,5310,mixto,C,Les plomeres con matr&iacute;cula pueden hacer trabajos en edificios y consorcios.,26,mujer,Argentina,AMBA,universitario/posgrado,mucho
9,109,1,x,2895,6674,mixto,C,Lxs ni&ntilde;xs siempre empiezan el jard&iacute;n con un per&iacute;odo de adaptaci&oacute;n inicial.,26,mujer,Argentina,AMBA,universitario/posgrado,mucho
9,114,3,x,6321,7304,mixto,C,Lxs caminionerxs con experiencia manejan por la ruta durante toda la noche.,26,mujer,Argentina,AMBA,universitario/posgrado,mucho
9,99,2,e,4225,11154,mixto,C,Les enfermeres tienen obligaci&oacute;n de actuar si hay un accidente en la v&iacute;a p&uacute;blica.,26,mujer,Argentina,AMBA,universitario/posgrado,mucho
9,97,1,e,3118,4221,mixto,C,Les maestres usan recursos variados durante la alfabetizaci&oacute;n inicial.,26,mujer,Argentina,AMBA,universitario/posgrado,mucho
9,105,2,o,5808,11832,masc.p,C,Los ingenieros revisan la porosidad de los materiales utilizados en la construcci&oacute;n.,26,mujer,Argentina,AMBA,universitario/posgrado,mucho
9,110,1,x,5033,6317,mixto,C,Lxs hermanxs de familias numerosas adquieren autonom&iacute;a r&aacute;pido.,26,mujer,Argentina,AMBA,universitario/posgrado,mucho
9,100,2,e,7983,9155,mixto,C,Les cirujanes cumplen con estrictas normas de higiene para ingresar al quir&oacute;fano.,26,mujer,Argentina,AMBA,universitario/posgrado,mucho
9,113,3,x,2693,4897,mixto,C,Lxs porterxs de las escuelas conocen a todos los estudiantes y sus padres.,26,mujer,Argentina,AMBA,universitario/posgrado,mucho
9,98,1,e,3876,8643.5,mixto,C,Les alumnes de secundaria suelen manejar g&eacute;neros textuales b&aacute;sicos.,26,mujer,Argentina,AMBA,universitario/posgrado,mucho
9,111,2,x,3368,4491,mixto,C,Lxs cocinerxs siempre organizan los ingredientes sobre la mesada para cocinar.,26,mujer,Argentina,AMBA,universitario/posgrado,mucho
9,103,1,o,9612,9765,mixto,C,Los abuelos cumplen un rol central durante la crianza en sociedades modernas.,26,mujer,Argentina,AMBA,universitario/posgrado,mucho
9,106,2,o,6939,4626,masc.p,C,Los arquitectos realizan los planos para edificios en modernos programas inform&aacute;ticos.,26,mujer,Argentina,AMBA,universitario/posgrado,mucho
9,107,3,o,5281,12909,masc.p,C,Los carpinteros de oficio hacen el lijado de los muebles con mucha precisi&oacute;n.,26,mujer,Argentina,AMBA,universitario/posgrado,mucho
9,104,1,o,5631,3355,masc.p,C,Los hijos de padres separados tienen reacciones muy variadas ante la situaci&oacute;n.,26,mujer,Argentina,AMBA,universitario/posgrado,mucho
9,108,3,o,6080,8200,masc.p,C,Los herreros con trayectoria fabrican las herramientas que usan para su oficio.,26,mujer,Argentina,AMBA,universitario/posgrado,mucho
